NICKstateNAME                   2007/ind/igate224.tou 20070112
STAN --- Samuel Tanee           48 1650 20051119
RARC --- Robert Archer          14 1650 19991102
DWAR --- Dianne Ward           251 1649 20061205
ASAM --- Ayob Samad             34 1649 20031214
BKIN --- Borom Kinthong         53 1647 20030629
GEBU --- Gold Eburu             48 1647 20000423
LFER --- Leon Fernandes         14 1647 19990815
MMUN --- Mwenya Munkonge        24 1644 20041003
WSAE --- Weera Saengsit         20 1642 20061205
WLER --- Wichai Lertsakulp      52 1640 20020707
EGOH --- Eugene Goh            106 1639 20010505
CGUO --- Chia Guo Cong          20 1639 20061205
KRIC --- Karen Richards        170 1638 20061205
DRAJ --- Dorai Raja             87 1637 20061205
PKAM --- Pramit Kamath          40 1637 20040201
EWOK --- Elizabeth Wok          18 1637 20031214
OARC --- Oscar Arciaga          28 1635 20000526
LRET --- Leon Rethual           59 1634 19990627
PTAN --- Patrick Tang           26 1634 20010701
PLIS --- Paul Lister            98 1633 20060625
MWOL --- Mildred Wolpe          24 1633 19980412
TDAV --- Tammy Davids           24 1633 19980412
JZAI --- Jasmi Zainal           23 1632 19990627
LPAO --- Libero Paolella        39 1631 19971127
YEAD --- Yvonne Eade            30 1631 20060713
JMBO --- John Mbote             47 1630 20050327
JTOR --- Joel Toroy             18 1630 19970526
RROM --- Rodney Romany          18 1629 19951026
MBWI --- Matayo Bwire          152 1626 20051119
AKHA --- Abdul Khan             14 1626 19990815
TWEI --- Toh Weibin             20 1624 20061201
JSHA --- Javed Shamim           24 1622 20050116
SBOO --- Surachai Booncham      26 1621 20020707
KJAC --- Kevin Jacobs           24 1621 19980412
RSPR --- Robert Springer        39 1620 19971127
AVAN --- Angela Van Niekerk      6 1619 19991031
SAMA --- Shaila Amalean        132 1618 20070112
TKOK --- Toh Kok Onn            40 1618 20061205
JTHI --- Jakkrit Thipthan       26 1617 20020707
SADE --- Segun Adegbenro        48 1615 20000423
RPAR --- Roger Parchamento      20 1613 20061205
EYAP --- Emy Yap               116 1611 20010505
RYBA --- Rod Ybardolaza         34 1610 20011012
MNIR --- MV Niranjan            24 1609 20060115
MSAL --- Mario Saliba           53 1608 19991106
MALI --- Mohd Ali Ismail        77 1607 20061205
